Continent,Country/Region,Lat,Long,1/27/2020,2/3/2020,2/10/2020,2/17/2020,2/24/2020,3/2/2020,3/9/2020,3/16/2020,3/23/2020,3/30/2020,4/6/2020,4/13/2020,4/20/2020,4/27/2020,5/4/2020,5/11/2020,5/18/2020,5/25/2020,6/1/2020,6/8/2020,6/15/2020,6/22/2020,6/29/2020,7/6/2020,7/13/2020,7/20/2020,7/27/2020,8/3/2020,8/10/2020,8/17/2020,8/24/2020,8/31/2020,9/7/2020,9/14/2020
Africa,Mozambique,-18.665695,35.529562,0,0,0,0,0,0,0,0,1,8,10,21,39,76,80,103,145,209,254,433,609,737,883,1012,1219,1507,1701,1973,2411,2914,3440,3916,4557,5482
Africa,Namibia,-22.9576,18.4904,0,0,0,0,0,0,0,2,4,11,16,16,16,16,16,16,16,21,25,31,32,63,196,485,861,1344,1843,2406,3101,4344,6030,7550,8810,9818
Africa,Niger,17.607789,8.081666,0,0,0,0,0,0,0,0,3,27,253,529,648,701,755,832,909,951,958,973,980,1046,1075,1093,1099,1105,1132,1152,1158,1167,1172,1176,1177,1180
Africa,Nigeria,9.082,8.6753,0,0,0,0,0,1,2,2,40,131,238,343,665,1337,2802,4641,6175,8068,10578,12801,16658,20919,25133,29286,33153,37225,41180,44129,46867,49485,52548,54008,55160,56388
Africa,Rwanda,-1.9403,29.8739,0,0,0,0,0,0,0,5,36,70,105,127,147,207,261,285,297,336,377,451,612,787,1001,1113,1378,1629,1879,2092,2152,2540,3306,4063,4409,4602
Africa,Sao Tome and Principe,0.1864,6.6131,0,0,0,0,0,0,0,0,0,0,4,4,4,4,23,208,246,299,484,513,662,702,713,721,732,746,865,874,878,885,892,896,898,906
Africa,Senegal,14.4974,-14.4524,0,0,0,0,0,1,4,24,79,162,226,291,377,736,1271,1886,2544,3130,3739,4427,5173,5970,6698,7478,8198,8948,9764,10386,11312,12237,13013,13611,14014,14306
Africa,Seychelles,-4.6796,55.492,0,0,0,0,0,0,0,3,7,8,11,11,11,11,11,11,11,11,11,11,11,11,77,81,100,108,114,114,126,127,132,136,137,140
Africa,Sierra Leone,8.460555,-11.779889,0,0,0,0,0,0,0,0,0,0,6,10,43,93,178,338,519,735,865,1001,1176,1340,1450,1547,1642,1711,1783,1848,1917,1956,1997,2022,2055,2111
Africa,Somalia,5.152149,46.199616,0,0,0,0,0,0,0,1,1,3,7,60,237,480,756,1089,1455,1689,2023,2368,2642,2812,2904,3006,3072,3130,3196,3220,3227,3257,3269,3310,3362,3389
Africa,South Africa,-30.5595,22.9375,0,0,0,0,0,0,3,62,402,1326,1686,2272,3300,4793,7220,10652,16433,23615,34357,50879,73533,101590,144264,205721,287796,373628,452529,516862,563598,589886,611450,627041,639362,650749
Africa,South Sudan,6.877,31.307,0,0,0,0,0,0,0,0,0,0,1,4,4,6,46,156,290,806,994,1604,1693,1916,1989,2021,2148,2211,2305,2429,2470,2490,2504,2527,2545,2587
Africa,Sudan,12.8628,30.2176,0,0,0,0,0,0,0,1,2,6,12,29,107,275,678,1526,2591,3976,5173,6242,7435,8698,9257,9894,10316,10992,11424,11738,11956,12410,12903,13189,13437,13535
Africa,Tanzania,-6.369028,34.888822,0,0,0,0,0,0,0,1,12,19,24,49,254,299,480,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509
Africa,Togo,8.6195,0.8248,0,0,0,0,0,0,1,1,18,30,58,77,84,98,126,181,330,386,443,497,531,569,643,680,721,783,874,976,1067,1154,1295,1400,1493,1578
Africa,Tunisia,33.886917,9.537499,0,0,0,0,0,0,2,20,89,312,596,726,884,967,1018,1032,1043,1051,1084,1087,1110,1159,1172,1199,1302,1381,1455,1565,1717,2185,2893,3803,5124,7382
Africa,Uganda,1.373333,32.290275,0,0,0,0,0,0,0,0,9,33,52,54,56,79,97,121,248,222,457,646,705,774,870,953,1029,1069,1128,1195,1297,1560,2362,2972,3776,4978
Africa,Western Sahara,24.2155,-12.8858,0,0,0,0,0,0,0,0,0,0,4,6,6,6,6,6,6,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10
Africa,Zambia,-13.133897,27.849332,0,0,0,0,0,0,0,0,3,35,39,45,65,88,137,267,761,920,1089,1200,1382,1430,1568,1632,1895,3326,4552,6580,8210,9839,11148,12097,12836,13720
Africa,Zimbabwe,-19.015438,29.154857,0,0,0,0,0,0,0,0,3,7,10,17,25,32,34,36,46,56,203,287,387,512,574,734,1034,1713,2704,4075,4748,5308,6070,6497,7298,7531
Asia,Afghanistan,33.93911,67.709953,0,0,0,0,1,1,4,21,40,170,367,665,1026,1703,2894,4687,7072,11173,15750,20917,25527,29157,31238,33190,34455,35526,36263,36747,37162,37599,38054,38165,38494,38772
Asia,Bahrain,26.0275,50.55,0,0,0,0,1,49,95,214,377,515,756,1361,1907,2723,3533,5236,7184,9171,11871,15417,19013,22407,26239,29821,33476,36936,39482,41835,44397,47185,49719,51972,56076,60965
Asia,Bangladesh,23.685,90.3563,0,0,0,0,0,0,3,8,33,49,123,803,2948,5913,10143,15691,23870,35585,49534,68504,90619,115786,141801,165618,186894,207453,226225,242102,260507,279144,297083,312996,327359,339332
Asia,Bhutan,27.5142,90.4336,0,0,0,0,0,0,1,1,2,4,5,5,5,7,7,9,21,27,43,59,67,68,77,80,84,90,99,103,110,141,156,225,233,245
Asia,Brunei,4.5353,114.7277,0,0,0,0,0,0,1,54,91,127,135,136,138,138,138,141,141,141,141,141,141,141,141,141,141,141,141,141,142,142,143,144,145,145
Asia,Burma,21.9162,95.956,0,0,0,0,0,0,0,0,0,14,22,62,119,146,161,180,191,203,228,244,262,291,299,316,336,341,350,355,360,376,474,882,1518,3195
Asia,Cambodia,11.55,104.9167,1,1,1,1,1,1,2,7,87,107,114,122,122,122,122,122,122,124,125,126,128,130,141,141,165,171,226,240,251,273,273,274,274,275
Asia,China,32.88764545,111.7859909,2877,19716,42354,72434,77241,80136,80860,81033,81498,82198,82665,83213,83817,83918,83966,84011,84063,84102,84154,84195,84378,84624,84780,84889,85117,85622,86783,88099,88906,89441,89718,89914,90078,90219
Asia,India,20.593684,78.96288,0,3,3,3,3,5,43,119,499,1251,4778,10453,18539,29451,46437,70768,100328,144950,198370,265928,343091,440215,566840,719664,906752,1155338,1480073,1855745,2268675,2702681,3167323,3691166,4280422,4930236
Asia,Indonesia,-0.7893,113.9213,0,0,0,0,0,2,19,134,579,1414,2491,4557,6760,9096,11587,14265,18010,22750,26940,32033,39294,46845,55092,64958,76981,88214,100303,113134,127083,141370,155412,174796,196989,221523
Asia,Iran,32.427908,53.688046,0,0,0,0,61,1501,7161,14991,23049,41495,60500,73303,83505,91472,98647,109286,122492,137724,154445,173832,189876,207525,225205,243051,259652,276202,293606,312035,328844,345450,361150,375212,388810,404648
Asia,Iraq,33.223191,43.679291,0,0,0,0,1,26,60,124,266,630,1031,1378,1574,1847,2346,2818,3554,4632,6868,13481,21315,32676,47151,62275,79735,94693,112585,131886,153599,180133,207985,234934,264684,294478
Asia,Israel,31.046051,34.851612,0,0,0,0,1,10,61,218,1071,4695,8904,11586,13713,15555,16246,16506,16643,16734,17169,18032,19237,21082,24441,30749,40632,52003,63985,74430,84722,94751,104472,116596,133975,160368
Asia,Japan,36.204824,138.252924,4,20,26,67,160,278,527,843,1144,2001,4110,7773,11258,13576,15229,15861,16259,16472,16787,17060,17439,17820,18476,19848,22125,25706,31142,40099,49617,56717,63158,68396,72213,75914
Asia,Jordan,31.24,36.51,0,0,0,0,0,0,1,17,127,268,349,391,425,449,465,562,629,711,746,831,979,1042,1128,1167,1183,1223,1176,1218,1268,1398,1639,2034,2478,3528
