Continent,Country/Region,Lat,Long,1/27/2020,2/3/2020,2/10/2020,2/17/2020,2/24/2020,3/2/2020,3/9/2020,3/16/2020,3/23/2020,3/30/2020,4/6/2020,4/13/2020,4/20/2020,4/27/2020,5/4/2020,5/11/2020,5/18/2020,5/25/2020,6/1/2020,6/8/2020,6/15/2020,6/22/2020,6/29/2020,7/6/2020,7/13/2020,7/20/2020,7/27/2020,8/3/2020,8/10/2020,8/17/2020,8/24/2020,8/31/2020,9/7/2020,9/14/2020
Europe,Luxembourg,49.8153,6.1296,0,0,0,0,0,1,3,77,875,1988,2843,3292,3558,3729,3828,3888,3947,3993,4019,4040,4072,4121,4256,4542,4956,5639,6321,6864,7216,7469,7794,6625,6960,7244
Europe,Malta,35.9375,14.3754,0,0,0,0,0,0,3,30,107,156,241,384,431,450,480,503,558,611,619,630,650,665,670,672,674,677,701,874,1112,1375,1667,1883,2076,2405
Europe,Moldova,47.4116,28.3699,0,0,0,0,0,0,1,23,109,298,965,1712,2548,3481,4248,4995,6138,7147,8360,9807,11879,14363,16357,17906,19439,21115,23154,25482,27841,30377,33828,36920,40055,43207
Europe,Monaco,43.7333,7.4167,0,0,0,0,0,1,1,7,23,49,77,93,94,95,95,96,97,98,99,99,99,101,103,108,109,109,116,121,133,148,154,154,153,177
Europe,Montenegro,42.708678,19.37439,0,0,0,0,0,0,0,0,27,91,233,274,312,321,323,324,324,324,324,324,326,367,501,841,1287,2188,2893,3301,3696,4085,4378,4835,5659,6900
Europe,Netherlands,21.40884,-52.99206,0,0,0,0,0,18,321,1416,4764,11817,18926,26710,33588,38440,40968,42987,44341,45647,46749,47945,49155,49866,50433,50870,51308,52142,53424,55786,60058,64980,69224,73232,78702,87194
Europe,North Macedonia,41.6086,21.7453,0,0,0,0,0,1,3,18,136,285,570,854,1225,1399,1518,1664,1817,1999,2315,3152,4157,5196,6209,7124,8197,9249,10213,11128,11942,12840,13673,14341,15127,15827
Europe,Norway,60.472,8.4689,0,0,0,0,0,25,205,1333,2621,4445,5865,6603,7156,7599,7904,8132,8257,8364,8446,8561,8647,8751,8862,8936,8984,9034,9132,9334,9684,10060,10395,10782,11521,12276
Europe,Poland,51.9194,19.1451,0,0,0,0,0,0,16,177,749,2055,4413,6934,9593,11902,14006,16326,18885,21631,24165,27160,29788,32227,34154,36155,38190,40383,43402,47469,52410,57279,62310,67372,71126,74529
Europe,Portugal,39.3999,-8.2245,0,0,0,0,0,2,30,331,2060,6408,11730,16934,20863,24027,25524,27679,29209,30788,32700,34885,37036,39392,41912,44129,46818,48771,50299,51569,52825,54234,55720,58012,60507,64596
Europe,Romania,45.9432,24.9668,0,0,0,0,0,3,15,158,576,2109,4057,6633,8936,11339,13512,15588,17036,18283,19398,20604,22165,24291,26582,29223,32948,38139,45902,54009,62547,71194,79330,87540,95897,104187
Europe,San Marino,43.9424,12.4578,0,0,0,0,0,8,36,109,187,230,266,356,462,538,582,628,654,666,671,687,694,697,698,698,699,699,699,699,699,699,704,715,716,722
Europe,Serbia,44.0165,21.0059,0,0,0,0,0,0,1,55,249,785,2200,4054,6630,8275,9557,10176,10699,11193,11430,11896,12367,12990,14288,16420,18639,21253,24141,26451,28262,29782,30714,31406,31941,32437
Europe,Slovakia,48.669,19.699,0,0,0,0,0,0,3,63,186,336,534,769,1173,1381,1413,1457,1495,1511,1522,1530,1552,1588,1665,1765,1902,1980,2181,2354,2599,2907,3424,3917,4636,5580
Europe,Slovenia,46.1512,14.9955,0,0,0,0,0,0,16,253,442,756,1021,1212,1335,1402,1439,1460,1466,1469,1473,1485,1496,1521,1585,1716,1849,1953,2087,2181,2255,2429,2665,2883,3190,3749
Europe,Spain,40.463667,-3.74922,0,1,2,2,2,120,1073,9942,35136,87956,136675,170099,200210,209465,218011,227436,231606,235400,239638,241717,244109,246504,248970,251789,255953,264836,278782,297054,322980,359082,405436,462858,525549,593730
Europe,Sweden,60.128161,18.643501,0,1,1,1,1,19,326,1146,2168,4359,7561,11349,15124,19426,23169,27301,31151,34871,39309,45363,52511,59718,67119,70932,73049,74676,75932,77582,79628,81658,83353,84379,85558,86505
Europe,Switzerland,46.8182,8.2275,0,0,0,0,0,42,374,2200,8795,15922,21657,25688,27944,29164,29981,30344,30597,30746,30871,30972,31131,31310,31652,32315,32946,33634,34477,35616,36708,38252,40060,42177,44592,47436
Europe,Ukraine,48.3794,31.1656,0,0,0,0,0,0,1,7,73,548,1319,3102,5710,9009,12331,15648,18616,21245,24562,28077,32536,38056,44538,50053,55285,60767,67096,74781,83812,95007,109234,124132,141424,160679
Europe,United Kingdom,24.54817255,-43.90224236,0,8,14,19,30,134,630,3692,12744,34281,66738,98017,131260,163630,193091,215500,233809,248650,258983,266756,273888,280156,284812,287290,291691,296944,301708,307251,313392,321064,328620,338083,352451,373555
Europe,West Bank and Gaza,31.9522,35.2332,0,0,0,0,0,0,19,38,59,116,254,273,329,342,362,375,388,423,449,473,505,1001,2185,4341,6566,8916,10621,12541,14510,16844,19213,22729,26779,31362
North America,Antigua and Barbuda,17.0608,-61.7964,0,0,0,0,0,0,0,1,3,7,15,23,23,24,25,25,25,25,26,26,26,26,69,70,74,76,86,92,92,93,94,94,95,95
North America,Bahamas,25.025885,-78.035889,0,0,0,0,0,0,0,1,4,14,29,47,60,80,83,93,96,100,102,103,103,104,104,104,113,174,382,679,945,1329,1798,2217,2546,3008
North America,Barbados,13.1939,-59.5432,0,0,0,0,0,0,0,0,17,33,60,72,75,80,82,84,88,92,92,92,97,97,97,98,103,106,110,132,142,152,161,174,179,183
North America,Belize,17.1899,-88.4976,0,0,0,0,0,0,0,0,1,3,7,18,18,18,18,18,18,18,18,19,21,23,24,30,37,40,48,57,177,475,713,1007,1307,1501
North America,Canada,49.11967692,-86.11463846,1,4,7,8,10,27,77,415,2088,7398,16563,25680,37658,49616,61956,71263,79410,87118,93287,97779,100763,103418,105830,107815,109984,112938,116471,118973,122053,124218,127594,130918,134295,140098
North America,Costa Rica,9.7489,-83.7534,0,0,0,0,0,0,9,35,158,330,467,612,662,697,742,801,866,951,1084,1342,1744,2277,3269,5241,8036,11534,15841,19402,23872,29084,34463,41287,48780,57361
North America,Cuba,21.521757,-77.781167,0,0,0,0,0,0,0,4,40,170,350,726,1087,1389,1668,1783,1881,1947,2083,2200,2262,2315,2340,2380,2428,2446,2532,2670,3046,3364,3717,4032,4352,4726
North America,Dominica,15.415,-61.371,0,0,0,0,0,0,0,0,2,11,15,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,18,20,20,22,24
North America,Dominican Republic,18.7357,-70.1627,0,0,0,0,0,1,5,11,245,901,1828,3167,4964,6293,8235,10634,12725,15073,17572,20126,23271,27370,31816,38128,45506,53956,64156,73117,80499,86737,91608,94715,99898,104110
North America,El Salvador,13.7942,-88.8965,0,0,0,0,0,0,0,0,3,30,69,137,218,323,555,958,1413,1983,2582,3104,3826,4808,6173,8027,9978,12207,15035,17843,20872,23193,24811,25729,26413,27009
North America,Grenada,12.1165,-61.679,0,0,0,0,0,0,0,0,1,9,12,14,14,18,21,21,22,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24
North America,Guatemala,15.7835,-90.2308,0,0,0,0,0,0,0,2,20,36,70,156,289,530,730,1114,1912,3760,5336,7502,10272,13769,17409,23972,29742,39039,45309,51542,56987,62944,68533,74074,77828,82172
North America,Haiti,18.9712,-72.2852,0,0,0,0,0,0,0,0,6,15,24,40,57,76,100,209,533,958,2226,3538,4441,5211,5933,6371,6727,7053,7340,7511,7634,7897,8110,8224,8376,8499
North America,Honduras,15.2,-86.2419,0,0,0,0,0,0,0,6,30,139,298,397,477,661,1178,2100,2798,4189,5362,6450,9178,13356,18818,24665,28579,34611,39741,43794,47872,50995,55479,61014,64814,68620
North America,Jamaica,18.1096,-77.2975,0,0,0,0,0,0,0,10,19,36,58,73,223,364,471,505,520,556,588,599,621,665,698,737,759,809,853,905,1031,1129,1612,2459,3183,3933
North America,Mexico,23.6345,-102.5528,0,0,0,0,0,5,7,82,367,1094,2439,5014,8772,15529,24905,36327,51633,71105,93435,120102,150264,185122,220657,261750,304435,349396,395489,443813,485836,525733,563705,599560,637509,671716
North America,Nicaragua,12.865416,-85.207229,0,0,0,0,0,0,0,0,2,4,6,9,10,13,15,16,25,279,759,1118,1464,1823,2170,2519,2846,3147,3439,3672,3902,4115,4311,4494,4668,4818
North America,Panama,8.538,-80.7821,0,0,0,0,0,0,0,55,345,989,1988,3400,4467,6021,7197,8616,9726,11183,13837,16854,21422,26752,32785,39334,47173,54426,61442,68456,75394,82543,87485,92982,97578,102204
North America,Saint Kitts and Nevis,17.357822,-62.782998,0,0,0,0,0,0,0,0,0,7,10,12,15,15,15,15,15,15,15,15,15,15,15,16,17,17,17,17,17,17,17,17,17,17
North America,Saint Lucia,13.9094,-60.9789,0,0,0,0,0,0,0,2,3,9,14,15,15,15,18,18,18,18,18,19,19,19,19,22,22,23,24,25,25,25,26,26,26,27
North America,Saint Vincent and the Grenadines,12.9843,-61.2872,0,0,0,0,0,0,0,1,1,1,7,12,12,15,17,17,17,18,26,27,27,29,29,29,35,50,52,55,57,58,58,60,62,64
North America,Trinidad and Tobago,10.6918,-61.2225,0,0,0,0,0,0,0,4,51,82,105,113,114,116,116,116,116,116,117,117,123,123,126,133,133,137,148,182,281,588,1099,1759,2277,3141
North America,US,40,-100,5,11,11,13,15,52,515,4354,43850,162707,367215,581813,783931,990983,1184086,1352962,1514901,1670280,1816479,1961785,2114026,2312303,2590668,2936077,3364157,3834677,4290337,4713540,5094400,5438325,5739536,6030587,6300622,6553652
Oceania,Australia,-32.106275,141.3554875,5,12,15,15,15,30,91,377,1682,4361,5797,6351,6623,6721,6847,6970,7068,7126,7221,7267,7347,7492,7834,8755,10251,12428,15303,18730,21713,23773,25053,25819,26373,26739
Oceania,Fiji,-17.7134,178.065,0,0,0,0,0,0,0,0,3,5,14,16,18,18,18,18,18,18,18,18,18,18,18,21,26,27,27,27,27,28,28,28,31,32
Oceania,New Zealand,-40.9006,174.886,0,0,0,0,0,1,5,8,102,589,1106,1349,1440,1472,1486,1497,1499,1504,1504,1504,1506,1515,1528,1536,1545,1555,1557,1567,1570,1643,1690,1752,1782,1801
Oceania,Papua New Guinea,-6.314993,143.95555,0,0,0,0,0,0,0,0,1,1,2,2,7,8,8,8,8,8,8,8,8,9,11,11,11,19,62,111,214,333,401,459,497,511
South America,Argentina,-38.4161,-63.6167,0,0,0,0,0,0,12,56,301,820,1554,2208,2941,4003,4887,6278,8371,12628,17415,23620,32785,44931,62268,80447,103265,130774,167416,206743,253868,299126,350867,417735,488007,565446
South America,Bolivia,-16.2902,-63.5887,0,0,0,0,0,0,0,11,27,97,183,330,564,1014,1681,2831,4263,6660,10531,13949,19073,25493,32125,40509,49250,60991,71181,81846,91635,101223,110148,116598,121604,127619
South America,Brazil,-14.235,-51.9253,0,0,0,0,0,2,25,200,1924,4579,12161,23430,40743,67446,108620,169594,255368,374898,526447,707412,888271,1106470,1368195,1623284,1884967,2118646,2442375,2750318,3057470,3359570,3622861,3908272,4147794,4345610
South America,Chile,-35.6751,-71.543,0,0,0,0,2,9,20,182,801,2555,5009,7964,11375,15492,23421,35052,54647,88891,129020,171452,213715,246963,275999,298557,317657,333029,347923,361493,375044,387502,399568,411726,424274,436433
South America,Colombia,4.5709,-74.2973,0,0,0,0,0,0,1,57,277,798,1579,2852,3977,5597,7973,11613,16295,21981,30493,40719,53063,71183,95043,120281,154277,204005,257101,327850,397623,476660,551688,615094,671848,721892
South America,Ecuador,-1.8312,-78.1834,0,0,0,0,0,6,15,37,981,1962,3747,7529,10128,23240,31881,29509,33582,37355,39098,43378,47322,50640,55665,62380,68459,74620,81161,87041,94701,101751,108289,113767,110092,118911
South America,Guyana,4.860416,-58.93018,0,0,0,0,0,0,0,4,20,8,31,45,65,74,92,109,124,137,153,154,159,205,235,273,300,337,389,474,568,709,1029,1306,1560,1884
South America,Paraguay,-23.4425,-58.4438,0,0,0,0,0,0,1,8,22,64,113,147,208,228,415,724,788,865,995,1145,1296,1392,2191,2456,2980,3748,4548,5724,7234,10135,13602,17662,23353,28367
South America,Peru,-9.19,-75.0152,0,0,0,0,0,0,7,86,395,950,2561,9784,16325,28699,47372,68822,94933,123979,170039,199696,232992,257447,282365,305703,330123,357681,389717,433100,483133,535946,594326,647166,689977,729619
South America,Suriname,3.9193,-56.0278,0,0,0,0,0,0,0,1,5,8,10,10,10,10,10,10,11,11,44,128,229,319,501,614,780,1079,1483,1893,2489,3077,3632,4034,4360,4611
South America,Uruguay,-32.5228,-55.7658,0,0,0,0,0,0,0,29,162,320,415,483,535,620,657,711,737,787,825,845,848,882,932,960,989,1064,1202,1291,1364,1457,1533,1595,1693,1812
South America,Venezuela,6.4238,-66.5897,0,0,0,0,0,0,0,17,77,135,165,189,256,329,357,422,618,1177,1662,2473,3062,4048,5530,7411,9707,12334,15988,20754,26800,34802,40338,46728,54350,61569
